"dist" "gap" "cnt" "max" "mean"
"orthoMCL0405" 597.833974810556 8 16 5 0.315315315315315
"orthoMCL0406" 1070.86149146312 6 21 3 0.315315315315315
"orthoMCL0407" 1020.70848370927 54 19 4 0.315315315315315
"orthoMCL0408" 0 0 1 35 0.315315315315315
"orthoMCL0409" 433.647054796786 38 12 19 0.306306306306306
"orthoMCL0410" 792.305781778942 9 18 6 0.306306306306306
"orthoMCL0411" 176.011637480251 57 8 14 0.306306306306306
"orthoMCL0412" 683.934071368984 8 17 6 0.306306306306306
"orthoMCL0413" 591.848566957724 9 16 5 0.306306306306306
"orthoMCL0414" 1902.22106188607 0 28 3 0.306306306306306
"orthoMCL0415" 782.743950683598 9 18 4 0.306306306306306
"orthoMCL0416" 472.623539560476 7 14 6 0.306306306306306
"orthoMCL0417" 658.637907568651 10 17 7 0.306306306306306
"orthoMCL0418" 1506.93843388151 2 25 8 0.306306306306306
"orthoMCL0419" 58.5397821301302 0 7 10 0.306306306306306
"orthoMCL0420" 327.94883981248 2 13 8 0.306306306306306
"orthoMCL0421" 483.881223150099 12 14 8 0.306306306306306
"orthoMCL0422" 683.896162551044 10 17 5 0.306306306306306
"orthoMCL0423" 0 0 1 33 0.297297297297297
"orthoMCL0424" 767.442701035167 9 18 6 0.297297297297297
"orthoMCL0425" 1781.67957008128 2 27 2 0.297297297297297
"orthoMCL0426" 544.177755405524 9 15 4 0.297297297297297
"orthoMCL0427" 293.821641958493 19 11 15 0.297297297297297
